dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,0,29.971987940371037,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,1,30.15856398269534,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,2,30.14229703694582,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,3,30.166811076924205,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,4,30.246505979448557,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,5,30.42567800730467,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,6,30.695104971528053,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,7,29.414453078061342,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,8,29.260508017614484,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,9,29.42379005253315,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,10,29.472592985257506,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,11,29.31439597159624,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,12,29.40736711025238,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,13,29.29899306036532,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,14,29.433947056531906,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,15,29.456048039719462,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,16,30.572033021599054,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,17,30.893009854480624,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,18,29.6596169937402,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,19,29.555346118286252,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,20,29.36975914053619,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,21,29.274408938363194,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,22,29.4617828913033,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,23,29.34219385497272,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,24,29.18393909931183,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,25,29.22107488848269,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,26,29.39242497086525,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,27,29.23784893937409,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,28,29.704716987907887,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,29,29.484290862455964,baseline,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,0,30.228245072066784,geometry_only,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,1,30.08209611289203,geometry_only,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,2,29.856039909645915,geometry_only,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,3,29.94257607497275,geometry_only,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,4,29.93763005360961,geometry_only,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,5,29.99543189071119,geometry_only,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,6,29.877288965508342,geometry_only,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,7,29.865087941288948,geometry_only,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,8,30.056921998038888,geometry_only,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,9,30.096461065113544,geometry_only,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,10,29.84846383333206,geometry_only,3,30,cuda
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,11,29.860628070309758,geometry_only,3,30,cuda
