dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,0,367.65410797670484,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,1,367.79069318436086,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,2,367.80126695521176,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,3,367.4690101761371,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,4,367.5760810729116,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,5,367.46954009868205,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,6,367.50655714422464,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,7,367.47226817533374,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,8,367.74273798801005,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,9,367.6163018681109,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,10,367.4831099342555,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,11,367.66582704149187,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,12,367.878844961524,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,13,367.8777408786118,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,14,367.7094499580562,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,15,367.4565360415727,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,16,367.4819879233837,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,17,367.36047617159784,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,18,367.700289003551,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,19,367.2668319195509,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,20,367.5105459988117,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,21,367.510505951941,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,22,367.49330000020564,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,23,367.3367400187999,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,24,367.51199304126203,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,25,367.82746110111475,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,26,368.0678370874375,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,27,367.53097805194557,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,28,367.4129950813949,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,29,367.5848091952503,baseline,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,0,371.8801480717957,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,1,371.992097934708,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,2,372.0857931766659,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,3,371.9645729288459,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,4,371.8855590559542,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,5,371.8934210482985,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,6,371.8764469958842,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,7,371.8212619423866,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,8,371.6861489228904,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,9,372.35059682279825,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,10,372.29617894627154,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,11,372.4332940764725,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,12,371.96714989840984,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,13,372.7259438019246,geometry_only,3,30,cuda
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,14,372.6113331504166,geometry_only,3,30,cuda
