dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,0,52.621252834796906,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,1,51.86359793879092,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,2,51.54756107367575,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,3,51.60018103197217,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,4,51.74010805785656,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,5,52.00616689398885,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,6,52.048729034140706,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,7,51.84927303344011,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,8,51.76268797367811,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,9,51.98094295337796,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,10,51.84780596755445,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,11,51.74322193488479,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,12,51.98468500748277,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,13,51.91010795533657,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,14,52.07683704793453,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,15,51.97057803161442,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,16,52.14160890318453,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,17,52.131697069853544,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,18,52.03214311040938,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,19,51.9752181135118,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,20,51.702358992770314,baseline,3,30,cuda
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,21,51.65887298062444,baseline,3,30,cuda
