dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,0,216.31166408769786,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,1,216.3254488259554,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,2,216.6036118287593,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,3,216.19242685846984,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,4,216.3116279989481,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,5,216.35440411046147,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,6,216.26900508999825,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,7,216.2003880366683,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,8,216.2835958879441,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,9,216.46669995971024,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,10,216.20891499333084,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,11,216.2531081121415,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,12,216.30046796053648,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,13,216.26338502392173,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,14,216.3487218786031,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,15,216.15713695064187,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,16,216.41609887592494,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,17,216.21596906334162,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,18,216.1266829352826,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,19,216.18244098499417,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,20,216.32207790389657,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,21,216.1695167887956,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,22,216.22011298313737,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,23,216.3180559873581,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,24,216.34934307076037,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,25,216.19481197558343,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,26,216.2887069862336,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,27,216.45156806334853,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,28,216.2612199317664,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,29,216.2395790219307,baseline,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,0,218.57334300875664,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,1,218.43173913657665,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,2,218.70915708132088,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,3,218.4666849207133,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,4,218.30939198844135,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,5,219.05329497531056,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,6,219.01061292737722,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,7,218.7528449576348,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,8,218.4487481135875,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,9,218.4248890262097,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,10,218.72667083516717,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,11,218.32892182283103,geometry_only,3,30,cuda
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,12,218.38933299295604,geometry_only,3,30,cuda
