dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,0,293.562846025452,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,1,293.4882319532335,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,2,293.43123617582023,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,3,293.3598798699677,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,4,293.6623350251466,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,5,293.29380695708096,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,6,293.18300005979836,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,7,293.4965321328491,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,8,293.1425718124956,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,9,293.1764470413327,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,10,293.46716892905533,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,11,292.97331208363175,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,12,293.2645420078188,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,13,293.18090388551354,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,14,293.515128782019,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,15,293.34850888699293,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,16,293.35429100319743,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,17,293.21879893541336,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,18,293.51316415704787,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,19,293.4175939299166,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,20,293.4883588459343,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,21,293.3777009602636,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,22,293.21420402266085,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,23,293.3424829971045,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,24,293.3815880678594,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,25,293.33628015592694,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,26,293.18486782722175,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,27,293.5698458459228,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,28,293.6180110555142,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,29,293.12145593576133,baseline,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,0,296.7682438902557,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,1,296.8754190951586,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,2,296.97973607107997,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,3,296.7614200897515,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,4,296.5722361113876,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,5,296.67433397844434,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,6,296.47364979609847,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,7,296.81676300242543,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,8,296.6844488400966,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,9,296.96698510088027,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,10,297.0194260124117,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,11,296.84904706664383,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,12,296.79884505458176,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,13,296.93892900832,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,14,296.45178792998195,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,15,296.77575500681996,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,16,296.69095715507865,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,17,296.5748298447579,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,18,296.879218891263,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,19,296.963457018137,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,20,296.87800584360957,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,21,296.9574339222163,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,22,296.80089303292334,geometry_only,3,30,cuda
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,23,296.6139579657465,geometry_only,3,30,cuda
