dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,0,29.895223909989,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,1,29.639940010383725,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,2,29.46306113153696,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,3,29.50223279185593,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,4,29.30544503033161,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,5,29.492489993572235,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,6,29.509796062484384,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,7,29.3575928080827,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,8,29.508588137105107,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,9,29.515056172385812,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,10,29.54137697815895,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,11,29.277317924425006,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,12,29.53967801295221,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,13,29.48061004281044,baseline,3,30,cuda
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,14,29.301831033080816,baseline,3,30,cuda
