dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
qm9_hf,0_3057,qcml,29,sevennet_baseline,0,29.961809050291777,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,1,29.62635480798781,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,2,29.547023121267557,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,3,29.43303994834423,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,4,29.43061594851315,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,5,29.607489937916398,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,6,29.534284956753254,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,7,29.38174200244248,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,8,29.807514045387506,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,9,29.537250055000186,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,10,29.459505807608366,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,11,29.57765501923859,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,12,29.3992490042001,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,13,29.746304964646697,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,14,29.397340957075357,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,15,29.474691953510046,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,16,29.610566794872284,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,17,29.422696912661195,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,18,29.553407104685903,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,19,29.505877988412976,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,20,29.34491797350347,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,21,29.735601041465998,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,22,29.51246197335422,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,23,29.569598147645593,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,24,29.776865849271417,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,25,29.5531980227679,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,26,29.511351138353348,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,27,29.464994091540575,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,28,29.534715926274657,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_baseline,29,29.537874972447753,baseline,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,0,30.38878901861608,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,1,29.97662196867168,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,2,29.998206067830324,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,3,29.995084973052144,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,4,29.665142996236682,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,5,29.96334293857217,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,6,30.035865027457476,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,7,29.7643868252635,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,8,30.285584973171353,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,9,30.009760055691004,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,10,29.913839884102345,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,11,29.81016901321709,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,12,30.103798024356365,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,13,30.02173500135541,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,14,30.055503826588392,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,15,30.283228028565645,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,16,30.049551045522094,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,17,29.7771948389709,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,18,30.07045411504805,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,19,30.10560292750597,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,20,29.917520005255938,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,21,30.10407485999167,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,22,29.8809630330652,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,23,29.9689550884068,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,24,30.063352081924677,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,25,30.101480893790722,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,26,30.1690180785954,geometry_only,3,30,cuda
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,27,30.094096902757883,geometry_only,3,30,cuda
