dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,0,29.872989049181342,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,1,29.49689095839858,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,2,29.230940155684948,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,3,29.571230057626963,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,4,29.587823199108243,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,5,29.420622158795595,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,6,29.479775112122297,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,7,29.303153976798058,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,8,29.516833135858178,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,9,29.26560491323471,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,10,29.57629901356995,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,11,29.51678982935846,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,12,29.29371688514948,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,13,29.635657789185643,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,14,29.400031082332134,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,15,29.537786031141877,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,16,29.630442149937153,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,17,29.469304950907826,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,18,29.50964099727571,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,19,29.71803699620068,baseline,3,30,cuda
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,20,29.35944707132876,baseline,3,30,cuda
