dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,0,31.378373969346285,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,1,31.56697121448815,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,2,31.00444609299302,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,3,30.744685092940927,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,4,31.125089153647423,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,5,30.563635984435678,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,6,30.727201141417027,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,7,30.795830069109797,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,8,30.690134037286043,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,9,30.72263184003532,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,10,30.78749100677669,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,11,30.68673820234835,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,12,30.615234980359674,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,13,30.651516979560256,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,14,30.77281406149268,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,15,30.853780917823315,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,16,30.822601169347763,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,17,31.002460047602654,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,18,30.881094047799706,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,19,30.675075016915798,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,20,30.606215819716454,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,21,30.606667045503855,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,22,30.675200978294015,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,23,30.732427025213838,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,24,30.57280695065856,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,25,30.89037793688476,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,26,30.67647898569703,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,27,30.689693987369537,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,28,30.86344408802688,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,29,30.632930109277368,baseline,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,0,31.574913999065757,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,1,31.413865042850375,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,2,30.96119803376496,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,3,31.37907898053527,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,4,31.236066948622465,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,5,31.10380400903523,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,6,31.096680089831352,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,7,31.10042796470225,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,8,31.014949083328247,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,9,30.892134876921773,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,10,31.24330402351916,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,11,30.856011901050806,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,12,31.577518908306956,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,13,31.14900505170226,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,14,31.592685962095857,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,15,30.93390609137714,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,16,31.456526136025786,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,17,31.0088989790529,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,18,31.22510085813701,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,19,31.079033156856894,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,20,31.043728813529015,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,21,31.233727000653744,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,22,31.16282494738698,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,23,30.95506108365953,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,24,31.156212091445923,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,25,31.10295790247619,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,26,31.042073853313923,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,27,31.09483397565782,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,28,31.27393196336925,geometry_only,3,30,cuda
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,29,31.017852015793324,geometry_only,3,30,cuda
