dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,0,34.952632850036025,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,1,34.711387008428574,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,2,34.61184608750045,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,3,34.28455186076462,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,4,34.41294305957854,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,5,34.32716499082744,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,6,35.13296414166689,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,7,35.64111702144146,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,8,34.75276008248329,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,9,34.31735699996352,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,10,34.35421991162002,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,11,34.796242136508226,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,12,35.393268102779984,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,13,34.543068846687675,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,14,34.491945058107376,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,15,34.392579924315214,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,16,34.25383009016514,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,17,34.31717096827924,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,18,34.35170603916049,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,19,34.73400603979826,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,20,35.09509703144431,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,21,34.56377703696489,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,22,34.38527602702379,baseline,3,30,cuda
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,23,34.493807004764676,baseline,3,30,cuda
