dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
mptrj,444,sevennet_baseline,force_model,autograd::engine::evaluate_function: SliceBackward0,111596.93899999975,241414.70099999948,983.5049999995681,404
mptrj,444,sevennet_baseline,force_model,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",0.0,203583.05500000005,0.0,597
mptrj,444,sevennet_baseline,force_model,aten::add_,54006.38599999984,188112.83700000003,768.6659999999538,511
mptrj,444,sevennet_baseline,force_model,autograd::engine::evaluate_function: MulBackward0,86669.62199999997,68097.43200000009,963.0479999999006,329
mptrj,444,sevennet_baseline,force_model,aten::slice_backward,75665.544,65843.22499999945,390.4220000002315,404
mptrj,444,sevennet_baseline,force_model,SliceBackward0,75982.21400000021,65843.22499999945,316.67000000021653,404
mptrj,444,sevennet_baseline,force_model,aten::mul,62061.01599999983,59743.049999999705,4211.636999999691,1249
mptrj,444,sevennet_baseline,force_model,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,58594.46699999973,0.0,835
mptrj,444,sevennet_baseline,force_model,aten::fill_,39214.330000000075,57709.39999999985,561.613000000013,463
mptrj,444,sevennet_baseline,force_model,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",0.0,57707.671999999846,0.0,459
mptrj,444,sevennet_baseline,force_model,aten::zero_,39519.340000000346,57705.20799999981,328.32600000023285,458
mptrj,444,sevennet_baseline,force_model,aten::zeros,39109.2509999998,57667.06199999986,244.482999999178,417
mptrj,444,sevennet_baseline,force_model,forward,13505.730000000003,46314.89599999995,960.8880000000454,32
mptrj,444,sevennet_baseline,force_model,MulBackward0,48678.59300000014,46189.20199999969,341.3920000004364,329
mptrj,444,sevennet_baseline,force_model,aten::mm,23375.683999999957,40034.360999999706,2806.2560000001386,412
mptrj,444,sevennet_baseline,force_model,autograd::engine::evaluate_function: PermuteBackward0,14562.077000000223,25783.07699999999,1300.8509999998569,893
mptrj,444,sevennet_baseline,force_model,aten::tensordot,3977.603999999994,21989.69099999994,508.15600000002814,199
mptrj,444,sevennet_baseline,force_model,aten::sum,37331.47499999992,21920.1330000003,1273.42399999989,306
