dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
mptrj,444,sevennet_geometry_only,force_model,autograd::engine::evaluate_function: SliceBackward0,92929.42099999964,241461.90300000043,1024.1580000002068,404
mptrj,444,sevennet_geometry_only,force_model,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",0.0,203620.11999999933,0.0,597
mptrj,444,sevennet_geometry_only,force_model,aten::add_,55465.98599999984,188145.13499999954,774.9539999998888,511
mptrj,444,sevennet_geometry_only,force_model,autograd::engine::evaluate_function: MulBackward0,100925.25499999971,67940.8220000015,1061.0889999994906,330
mptrj,444,sevennet_geometry_only,force_model,aten::slice_backward,60142.06400000007,65845.64300000062,413.12400000006164,404
mptrj,444,sevennet_geometry_only,force_model,SliceBackward0,60304.89699999961,65845.64300000062,162.83299999954033,404
mptrj,444,sevennet_geometry_only,force_model,aten::mul,75860.53900000018,59538.37200000133,4099.842000000179,1253
mptrj,444,sevennet_geometry_only,force_model,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,58463.64200000124,0.0,837
mptrj,444,sevennet_geometry_only,force_model,aten::fill_,27154.943000000112,58091.30700000003,561.4080000002166,470
mptrj,444,sevennet_geometry_only,force_model,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",0.0,58089.57900000003,0.0,466
mptrj,444,sevennet_geometry_only,force_model,aten::zero_,27366.20100000007,58087.14700000003,321.7209999999113,465
mptrj,444,sevennet_geometry_only,force_model,aten::zeros,26333.603999999927,57675.23800000015,265.91100000016877,417
mptrj,444,sevennet_geometry_only,force_model,forward,11649.972999999994,46328.11199999999,809.7639999999603,32
mptrj,444,sevennet_geometry_only,force_model,MulBackward0,61300.97200000005,46032.26500000123,416.6399999999485,330
mptrj,444,sevennet_geometry_only,force_model,aten::mm,28927.467999999863,38786.12099999997,2626.2659999998614,412
mptrj,444,sevennet_geometry_only,force_model,autograd::engine::evaluate_function: PermuteBackward0,12911.749999999527,25783.868999999628,1377.8689999991548,893
mptrj,444,sevennet_geometry_only,force_model,aten::tensordot,3455.117999999992,21988.42999999998,412.1679999999849,199
mptrj,444,sevennet_geometry_only,force_model,aten::sum,38537.906000000155,21919.69200000025,1047.3879999999845,306
mptrj,444,sevennet_geometry_only,force_model,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",0.0,21873.804000000295,0.0,300
mptrj,444,sevennet_geometry_only,force_model,ampere_sgemm_64x64_nn,0.0,20881.248999999996,0.0,165
mptrj,444,sevennet_geometry_only,force_model,autograd::engine::evaluate_function: MmBackward0,28100.324999999983,16567.51500000003,453.42999999989115,198
mptrj,444,sevennet_geometry_only,force_model,MmBackward0,27526.453000000052,16560.827000000005,234.3340000003227,198
mptrj,444,sevennet_geometry_only,force_model,aten::add,13760.74900000005,15980.847999999873,331.09400000003484,108
mptrj,444,sevennet_geometry_only,force_model,ampere_sgemm_64x64_tn,0.0,15727.667000000067,0.0,158
mptrj,444,sevennet_geometry_only,force_model,aten::einsum,3686.9149999999945,13674.048999999974,739.8409999999726,308
mptrj,444,sevennet_geometry_only,force_model,aten::cat,494.1259999999727,10108.79499999998,381.67499999997494,43
