dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
qm9_hf,29,sevennet_baseline,forward_energy,forward,12614.328999999998,4606.802000000021,775.7760000000064,32
qm9_hf,29,sevennet_baseline,forward_energy,aten::tensordot,3734.4079999999967,3387.2569999999932,430.46700000000465,199
qm9_hf,29,sevennet_baseline,forward_energy,aten::mm,2164.0109999999886,3227.6069999999936,1301.2799999999877,214
qm9_hf,29,sevennet_baseline,forward_energy,ampere_sgemm_64x64_nn,0.0,2265.042999999993,0.0,50
qm9_hf,29,sevennet_baseline,forward_energy,aten::mul,3486.396999999991,898.0340000000194,1889.3029999999867,508
qm9_hf,29,sevennet_baseline,forward_energy,aten::einsum,4430.521999999987,706.5500000000077,754.6499999999785,308
qm9_hf,29,sevennet_baseline,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,598.0690000000047,0.0,280
qm9_hf,29,sevennet_baseline,forward_energy,ampere_sgemm_32x128_nn,0.0,378.78699999999844,0.0,70
qm9_hf,29,sevennet_baseline,forward_energy,aten::copy_,810.2389999999934,346.244000000001,307.1919999999996,134
qm9_hf,29,sevennet_baseline,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0.0,321.0270000000012,0.0,116
