dataset,natoms,case,mode,op,cpu_time_total_us,device_time_total_us,self_cpu_time_total_us,count
qm9_hf,29,sevennet_geometry_only,forward_energy,forward,11606.773000000005,4561.75400000001,780.9679999999621,32
qm9_hf,29,sevennet_geometry_only,forward_energy,aten::tensordot,3432.675000000011,3388.462000000003,415.5710000000274,199
qm9_hf,29,sevennet_geometry_only,forward_energy,aten::mm,1871.6629999999943,3229.037000000003,1281.517999999995,214
qm9_hf,29,sevennet_geometry_only,forward_energy,ampere_sgemm_64x64_nn,0.0,2270.648999999996,0.0,50
qm9_hf,29,sevennet_geometry_only,forward_energy,aten::mul,2745.7520000000113,859.5909999999964,1859.199000000018,511
qm9_hf,29,sevennet_geometry_only,forward_energy,aten::einsum,3739.022000000018,666.302000000006,754.4620000000325,308
qm9_hf,29,sevennet_geometry_only,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,561.277000000004,0.0,282
qm9_hf,29,sevennet_geometry_only,forward_energy,ampere_sgemm_32x128_nn,0.0,378.01999999999634,0.0,70
qm9_hf,29,sevennet_geometry_only,forward_energy,aten::copy_,865.5159999999973,354.3080000000069,297.52499999999907,143
qm9_hf,29,sevennet_geometry_only,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0.0,318.11600000000635,0.0,116
qm9_hf,29,sevennet_geometry_only,forward_energy,aten::clone,1263.2939999999953,309.38000000000636,122.67399999999776,110
qm9_hf,29,sevennet_geometry_only,forward_energy,aten::reshape,2215.294000000007,280.3560000000066,682.3150000000037,1482
qm9_hf,29,sevennet_geometry_only,forward_energy,aten::cat,434.1000000000017,188.93299999999044,350.4380000000019,42
qm9_hf,29,sevennet_geometry_only,forward_energy,"void at::native::(anonymous namespace)::CatArrayBatchedCopy_aligned16_contig<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",0.0,163.71599999999057,0.0,31
qm9_hf,29,sevennet_geometry_only,forward_energy,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",0.0,155.9079999999958,0.0,100
qm9_hf,29,sevennet_geometry_only,forward_energy,ampere_sgemm_32x32_sliced1x4_nn,0.0,147.20700000000375,0.0,38
qm9_hf,29,sevennet_geometry_only,forward_energy,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",0.0,137.86199999999644,0.0,125
qm9_hf,29,sevennet_geometry_only,forward_energy,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, false, float, float, float, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float const*, float const*, float const*, float const*)",0.0,134.56500000000733,0.0,64
qm9_hf,29,sevennet_geometry_only,forward_energy,ampere_sgemm_64x32_sliced1x4_nn,0.0,129.02599999999802,0.0,41
qm9_hf,29,sevennet_geometry_only,forward_energy,aten::bmm,220.66700000000037,111.07300000000214,168.299999999992,30
qm9_hf,29,sevennet_geometry_only,forward_energy,ampere_sgemm_128x128_nn,0.0,99.74599999999873,0.0,8
qm9_hf,29,sevennet_geometry_only,forward_energy,aten::scatter_reduce_,122.83199999999806,80.41599999999971,46.998999999999796,5
qm9_hf,29,sevennet_geometry_only,forward_energy,ampere_sgemm_128x128_nt,0.0,74.65700000000243,0.0,12
