dataset,baseline (ms),restored full (ms),speedup,natoms,num_edges,avg_neighbors_directed,density_bucket
ani1ccx,31.47 ± 0.25,47.75 ± 0.20,0.659x,55,2042,37.127272727272725,small_sparse
ani1x,31.09 ± 0.23,48.30 ± 0.32,0.644x,63,2008,31.873015873015877,small_sparse
iso17,29.44 ± 0.19,48.12 ± 0.23,0.612x,19,340,17.894736842105264,small_sparse
md22_ac_ala3_nhme,29.39 ± 0.17,48.55 ± 0.22,0.605x,42,1142,27.19047619047619,small_sparse
md22_at_at,29.44 ± 0.17,48.90 ± 1.78,0.602x,60,1312,21.866666666666667,small_sparse
md22_at_at_cg_cg,54.89 ± 0.22,54.90 ± 0.30,1.000x,118,3740,31.694915254237287,large_sparse
md22_buckyball_catcher,104.09 ± 0.15,97.18 ± 0.23,1.071x,148,6872,46.43243243243244,large_dense
md22_dha,29.42 ± 0.33,48.50 ± 0.54,0.607x,56,1406,25.107142857142858,small_sparse
md22_double_walled_nanotube,367.57 ± 0.18,363.96 ± 0.44,1.010x,370,24024,64.92972972972973,large_dense
md22_stachyose,51.85 ± 0.24,52.52 ± 0.35,0.987x,87,3532,40.59770114942529,large_dense
mptrj,425.66 ± 0.30,420.91 ± 0.27,1.011x,444,27612,62.18918918918919,large_dense
oc20_s2ef_train_20m,125.60 ± 0.47,119.29 ± 0.33,1.053x,225,8260,36.71111111111111,large_sparse
oc20_s2ef_train_2m,163.55 ± 0.19,160.44 ± 0.23,1.019x,225,10738,47.72444444444445,large_dense
oc20_s2ef_val_id,230.78 ± 0.18,228.03 ± 1.06,1.012x,225,15230,67.68888888888888,large_dense
oc20_s2ef_val_ood_ads,102.78 ± 0.08,95.76 ± 0.22,1.073x,225,6686,29.71555555555556,large_sparse
oc20_s2ef_val_ood_both,174.43 ± 0.17,171.75 ± 0.26,1.016x,223,11486,51.506726457399104,large_dense
oc20_s2ef_val_ood_cat,156.13 ± 0.10,152.63 ± 0.28,1.023x,225,10270,45.644444444444446,large_dense
oc22_s2ef_train,216.31 ± 0.20,213.49 ± 0.29,1.013x,228,14238,62.44736842105263,large_dense
oc22_s2ef_val_id,179.19 ± 0.16,176.72 ± 0.27,1.014x,200,11704,58.52,large_dense
oc22_s2ef_val_ood,280.32 ± 0.18,277.58 ± 0.35,1.010x,216,18264,84.55555555555556,large_dense
omat24_1m_official,232.47 ± 0.16,229.50 ± 0.37,1.013x,160,15224,95.15,large_dense
omol25_train_4m,293.73 ± 0.67,290.57 ± 0.31,1.011x,350,19152,54.72,large_dense
omol25_train_neutral,150.32 ± 0.26,146.39 ± 0.45,1.027x,181,9926,54.83977900552486,large_dense
omol25_validation,274.26 ± 0.26,271.59 ± 0.32,1.010x,350,17972,51.34857142857143,large_dense
phonondb_pbe,29.52 ± 0.10,47.98 ± 0.21,0.615x,8,208,26.0,small_sparse
qm9_hf,29.59 ± 0.16,48.50 ± 0.29,0.610x,29,570,19.655172413793103,small_sparse
rmd17,29.55 ± 0.12,48.17 ± 0.22,0.613x,24,366,15.25,small_sparse
salex_train_official,151.94 ± 0.20,147.88 ± 0.28,1.027x,132,9932,75.24242424242425,large_dense
salex_val_official,201.41 ± 0.38,198.56 ± 0.73,1.014x,128,13088,102.25,large_dense
spice_2023,30.96 ± 0.18,49.49 ± 0.45,0.626x,89,728,8.179775280898877,small_sparse
wbm_initial,34.58 ± 0.27,48.97 ± 0.28,0.706x,100,2260,22.6,small_sparse
