dataset,sample_id,natoms,num_edges,avg_neighbors_directed,structure_class,baseline_steady_median_ms,pair_steady_median_ms,steady_speedup_baseline_over_pair,source
mptrj_val,mp-1197409,426,28964,67.9906103286385,bulk_like,515.3394140070304,308.75415552873164,1.6690930462928608,real_e3nn_pair_k3
oc20_val_id,OC20_S2EF_val_id__file_0049__config_3636,225,15230,67.68888888888888,surface_like,284.92171550169587,258.7775445135776,1.1010295195329305,real_e3nn_pair_k3
oc22_val_id,s2ef_val_id_0,200,11704,58.52,surface_like,233.41891201562248,206.78188200690784,1.1288170402077335,real_e3nn_pair_k3
omat24_validation,OMat24__agm005231400_AB2C5D6_8_spg14_4_0_rattled-1000-subsampled_z8rquh__file_ix_23803,112,5140,45.892857142857146,bulk_like,131.5071654971689,110.05258598015644,1.1949484360220388,real_e3nn_pair_k3
omol25_validation,OMol25_neutral_validation_data0020_65,110,3826,34.78181818181818,molecule_like,114.53582299873231,101.675518497359,1.126483785786717,real_e3nn_pair_k3
phonondb_pbe,phonondb_pbe:1,8,640,80.0,bulk_like,108.29748050309718,98.0376125080511,1.1046523648686724,real_e3nn_pair_k3
salex_validation,sAlex__agm005259073_0_0__id_482977,168,14904,88.71428571428571,bulk_like,279.9887180153746,255.16323451302011,1.0972925568596668,real_e3nn_pair_k3
ani1x,ani1x-release_416625,63,2008,31.873015873015877,molecule_or_bulk_local,58.585551974829286,80.37745102774352,0.72888044128953,local_pair_size_main
iso17,iso17,19,342,18.0,molecule_or_bulk_local,58.833735005464405,77.20001402776688,0.7620948745463104,local_pair_size_main
md22_double_walled_nanotube,md22_double-walled_nanotube_2449,370,24546,66.34054054054054,molecule_or_bulk_local,381.6858909558505,379.9721029936336,1.0045102994370236,local_pair_size_main
md22_stachyose,md22_stachyose_47,87,3718,42.735632183908045,molecule_or_bulk_local,65.1975609944202,82.61315000709146,0.7891910790088948,local_pair_size_main
mptrj,mp-1204603,444,28508,64.2072072072072,molecule_or_bulk_local,638.5161200305447,442.2835870063864,1.4436803417290835,local_pair_size_main
rmd17,rmd17_azobenzene,24,370,15.416666666666666,molecule_or_bulk_local,59.024718997534364,77.54849595949054,0.7611329951307818,local_pair_size_main
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_34,89,772,8.674157303370787,molecule_or_bulk_local,60.45603100210428,81.38583198888227,0.7428323766520306,local_pair_size_main
