name,approx_size_gib,status,gated,local_path
oc22_s2ef_train,30.13,pending,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc22_s2ef_train
omol25_validation,13.62,pending,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/omol25_validation
omol25_train_4m,11.49,pending,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/omol25_train_4m
salex_train_official,7.52,pending,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/fairchem/salex/train.tar.gz
oc20_s2ef_train_2m,4.74,pending,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_train_2m
oc20_s2ef_val_ood_both,3.31,pending,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_ood_both
oc20_s2ef_val_ood_ads,3.13,pending,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_ood_ads
oc20_s2ef_val_ood_cat,3.11,pending,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_ood_cat
oc20_s2ef_val_id,3.0,pending,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc20_s2ef_val_id
spice_2023,2.41,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/spice_2023
omat24_1m_official,2.12,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/fairchem/omat24_1m/omat24_1M_251210.tar.gz
mptrj,1.63,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/mptrj
oc22_s2ef_val_ood,1.61,pending,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc22_s2ef_val_ood
oc22_s2ef_val_id,1.39,pending,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/oc22_s2ef_val_id
rmd17,0.98,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/rmd17
iso17,0.68,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/iso17
salex_val_official,0.4,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/fairchem/salex/val.tar.gz
ani1x,0.3,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/ani1x
ani1ccx,0.25,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/ani1ccx
md22_ac_ala3_nhme,0.14,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_ac_ala3_nhme
md22_dha,0.14,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_dha
md22_stachyose,0.08,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_stachyose
md22_double_walled_nanotube,0.06,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_double_walled_nanotube
qm9_hf,0.05,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/qm9_hf
md22_at_at_cg_cg,0.04,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_at_at_cg_cg
md22_at_at,0.04,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_at_at
md22_buckyball_catcher,0.03,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md22_buckyball_catcher
md17_aspirin,0.01,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_aspirin
md17_ethanol,0.01,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_ethanol
md17_benzene,0.01,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_benzene
md17_naphthalene,0.01,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_naphthalene
md17_malonaldehyde,0.01,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_malonaldehyde
md17_toluene,0.01,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_toluene
md17_uracil,0.01,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_uracil
md17_salicylic_acid,0.01,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/md17_salicylic_acid
wbm_initial,0.0,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/figshare/wbm_initial.extxyz.zip
phonondb_pbe,0.0,exists,False,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/figshare/phonondb_pbe.extxyz.zip
omol25_official_gated,0.0,gated,True,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/omol25_official_gated
